asset.name,collection_slug,total_price,quantity,asset.num_sales,payment_token.usd_price,total_price_usd
BadFaceBots,badfacebots,0.839,4,9.0,7901.08,1657.25153
Bag,treasure-for-loot,0.48,1,3.0,1975.27,948.1296
BagelFEED,stapleverse-feed-clan,0.4465,1,4.0,1975.27,881.9580550000001
BalamKingdom,jungle-of-dreams,0.1,1,6.0,1975.27,197.52700000000002
Ballman,ballmanproject,0.23598999999999998,2,3.0,3950.54,466.1439673
BanditShadesOfYou,soynft,0.078,1,4.0,1975.27,154.07106
Banning,cryptokitties,0.02,1,1.0,1975.27,39.5054
Bao,fortune-friends-club-official-nft,0.0969,1,2.0,1975.27,191.403663
BasedFishMafiaWire,based-fish-mafia-wire,0.066,1,283.0,1975.27,130.36782
Bassett,wearetheoutkast,0.055,1,1.0,1975.27,108.63985
BatshitCrazyJanky,superplastic-ogs,0.39,1,2.0,1975.27,770.3553
BattleMageMagnusoftheKeep,forgottenruneswizardscult,2.699,1,3.0,1975.27,5331.253729999999
Beacon,the-seekers,1.7168899999999998,3,3.0,5925.8099999999995,3391.3213103
Bean,beanzofficial,11.620000000000001,2,5.0,3950.54,22952.6374
BeanBagFren,beanbagfrens-nft,1.2447999999999,12,30.0,23703.239999999998,2458.8160959998027
Bear,teddy-bear-squad,0.11,1,1.0,1975.27,217.2797
BearsDeluxe,bears-deluxe,3.19,2,3.0,3950.54,6301.1113
Bedlam,mechachaoticbedlam,0.41800000000000004,2,3.0,3950.54,825.6628599999999
Beeing,thebeeings,3.257,11,30.0,21727.97,6433.45439
BenjiBananasMembershipPass,benji-bananas-membership-pass,1.529,3,17661.0,5926.34,3020.32033
Bibi,thebibiz,0.555,4,12.0,7901.08,1096.27485
BigCat,big-cats-official-collection,0.779,3,7.0,5925.8099999999995,1538.73533
BigCat,billionaire-bunker,0.15,1,1.0,1975.27,296.2905
Billionaire,billionaireclubnft,0.085,1,4.0,1975.27,167.89795
BillionaireSkullClubETH,billionaireskullclub,0.01,2,3.0,3950.54,19.7527
BirdoTron,reservax,0.186,1,39.0,1975.27,367.40022
Biscotti,look-labs-420-buds,0.075,1,1.0,1975.27,148.14525
BitMate,bitmates,0.158,2,3.0,3950.54,312.09266
BitbonesNemesis,bitbones-nemesis,0.05,1,1.0,1975.27,98.76350000000001
BlackMetaMultipass,black-meta-multipass,0.133,1,1.0,1975.27,262.71091
BlankHighTops,10ktf-stockroom,0.49,1,378.0,1975.27,967.8823
BlazefromWalten,cyberbrokers,1.32,1,4.0,1975.27,2607.3564
Block,metroverse-blackout,5.085,4,5.0,7901.08,10044.24795
Block,metroverse-genesis,20.002489999999998,18,55.0,35555.39,39511.020937299996
BlockBirds,blockbirds,0.125,1,2.0,1975.27,246.90875
BlockchainBandit,blockchain-bandits-official,0.6659,4,10.0,7901.61,1315.448893
BloodShedBearsGenesis,genesisbloodshedbears,1.4289999999999998,3,6.0,5925.8099999999995,2822.66083
BloodShedBearsGenesisMetaPass,bloodshedbearsgenesismetapass,0.498,1,574.0,1975.27,983.68446
BoatCaptainVOX,collectvox,1.8,1,2.0,1975.27,3555.486
BobuTokenAzuki,bobutoken,1.5358,9,199080.0,17777.43,3033.619666
BombofHamilton,cyberbrokers,1.32,1,2.0,1975.27,2607.3564
BonestoPickbyEddieGangland,eddie-gangland-200-series,0.085,1,57.0,1975.27,167.89795
BoredBigfootBillionaires,bored-bigfoot-billionaires,0.17,2,3.0,3950.54,335.7959
BoredBunny,bored-bunny--nft,0.9998,2,8.0,3950.54,1974.874946
BoredDoodlePunk,bored-doodle-punk-club,0.025,1,2.0,1975.27,49.381750000000004
BoredKevin,boredapekevinclub,0.029,1,3.0,1975.27,57.282830000000004
BoredMilady,boredmilady,0.049699999999999994,2,3.0,3950.54,98.170919
BoredMummy,bored-mummy-waking-up,0.085,1,3.0,1975.27,167.89795
BossBeauties,bossbeauties,2.0500000000000003,3,14.0,5926.34,4049.303553
BossBeautiesxRollingStone,boss-beauties-collabs,0.176,3,1046.0,3950.54,347.64752
BossBunnies,boss-bunnies-nft-official,0.011,1,1.0,1975.27,21.72797
BoySperm,sexnft-boysperm,0.04,1,1.0,1975.27,79.0108
BozoIsland,spatialx,0.34,1,64.0,1975.27,671.5918
BrainDancer,braindance-v2,0.23,1,1.0,1975.27,454.31210000000004
Bravo,theindifferentduck,0.6496,7,18.0,13826.89,1283.135392
BreadHead,bread-heads,0.04,1,1.0,1975.27,79.0108
Brian,brian-nfts-collection-by-braindom,0.246,1,1.0,1975.27,485.91642
BrickBreakers,gmoney-brick-breaker,0.099,1,3.0,1975.27,195.55173000000002
Bricktopian,bricktopians-by-law-degree,0.11,1,4.0,1975.27,217.2797
BromargyriteTerrace,cryptovoxels,4.67141454828555,1,1.0,1975.27,9227.305014791998
BronzeShuttlepass,ppa-shuttle-passes,0.05,1,619.0,1975.27,98.76350000000001
Bryce,chad-brad-family-collection,0.065,1,1.0,1975.27,128.39255
BubblegumPuppy,bubblegumpuppies,0.41000000000000003,2,2.0,3950.54,809.8607
BudLightNXT,bud-light-n3xt,4.069,23,59.0,45431.21,8037.37363
Bufficorn,bufficornbuidlbrigade,0.35,2,3.0,3950.54,691.3445
BulgyVelvetyFleckyBear,badbearsgenesis,0.15,1,1.0,1975.27,296.2905
C,c-01-official-collection,2.97999,3,5.0,5925.8099999999995,5886.2848472999995
CADDY,cryptoshack,0.715,2,3.0,3950.54,1412.3180499999999
CAGC,chad-ape-gym-club,0.038,2,3.0,3950.54,75.06026
CBWC,thecryptobearwatchclub,0.85,1,1.0,1975.27,1678.9795
CC,cuddlee-crew,0.0072,5,5.0,9876.35,14.221943999999999
CEREAL,cerealclub,1.205,8,17.0,15802.16,2380.20035
CHFTYPizza,chfty-chftypizzas,0.249,1,1.0,1975.27,491.84223
CNKRunaway,cnk-world-by-cookies-n-kicks,0.065,1,1.0,1975.27,128.39255
COMIC,nifty-league-launch-comics,0.128,2,888.0,1975.27,252.83456
COMMON,mavia-land,0.769,1,3.0,1975.27,1518.98263
CREYZIE,creyzies,0.2,1,3.0,1975.27,395.05400000000003
CROAKZ,croakz-v2-1,0.734,7,33.0,13826.89,1449.84818
CWWeapons,cryptowalkersweapons,0.24,1,1.0,1975.27,474.0648
CakedApes,cakedapesofficial,1.8559999999999999,6,13.0,11851.619999999999,3666.10112
Cakes_Amusement,paranormiesnft,0.08,1,2.0,1975.27,158.0216
CameraPerson,camera-person-nft,0.078,2,2.0,3950.54,154.07106
CandyHunter,candy-hunters,0.397,6,13.0,11851.619999999999,784.18219
CannonPlay,snapshots-of-sydney,0.1,1,3.0,1975.27,197.52700000000002
CapybarasCountryClub,capybarascountryclub,0.2178,4,6.0,7901.08,430.213806
CarbonFiberBike,thewalkingdeadofficialdarylmotorcycles,0.034,1,1.0,1975.27,67.15918
Cartoon,cartoonsnft,2.134,16,46.0,31604.32,4215.22618
CastleKid,castle-kid-colin-tilley,0.029,1,2.0,1975.27,57.282830000000004
CatBlox,catbloxgenesis,4.8488,9,22.0,17777.43,9577.689176
Catalina,thebaddiebabes,0.045,1,1.0,1975.27,88.88714999999999
Catbotica,catbotica,2.0949999999999998,2,2.0,3950.54,4138.19065
Celestial,angelsdevilsnft,0.2068,3,5.0,5925.8099999999995,408.485836
Celestial,celestials-eth,0.11,1,1.0,1975.27,217.2797
Celestial,cryptocelestialsnft,0.0035,1,1.0,1975.27,6.913445
CelestialKey,celestial-keys,0.75,3,4.0,5925.8099999999995,1481.4525
Centipede,gft-atari-50th-anniversary,0.47440000000000004,3,7.0,5925.8099999999995,937.068088
ChainOwlz,alphaowls,0.0178,1,1.0,1975.27,35.159805999999996
ChainScout,chain-scouts-genesis,0.09,1,1.0,1975.27,177.77429999999998
ChainsNFT,chainsnft,0.823,4,5.0,7901.08,1625.64721
Chameleon,chillinchameleons,0.108,1,2.0,1975.27,213.32916
Champion,champions-ascension-prime-eternal,2.889,5,5.0,9876.88,5706.87303
ChampionshipBear,bears-club-by-kicksonfire,0.26,1,28.0,1975.27,513.5702
ChampsOnly,champsonly,0.319,1,1592.0,1975.27,630.11113
ChanelTailAssembly,tom-sachs-rocket-factory,3.5,1,1.0,1975.27,6913.445
ChantreaGobbun,cryptokitties,0.004993881504557518,1,1.0,1975.27,9.864264319507328
Character,etherdash,0.055999999999999994,2,4.0,3950.54,110.61511999999999
Character,neotokyo-outer-identities,11.7,1,1.0,1975.27,23110.659
CharlesDAO,charles-dao,0.0698,1,3.0,1975.27,137.87384600000001
Cheeks,cheeks-pepo,0.06,1,1.0,1975.27,118.5162
CheeseburgerFighter,nasa-cheeseburger-fighters,0.01169,1,1.0,1975.27,23.0909063
ChibiApe,chibi-apes,0.11,1,5.0,1975.27,217.2797
ChibiDino,chibidinos,0.541,3,6.0,5925.8099999999995,1068.62107
ChibiFren,chibi-frens,0.0868,2,3.0,3950.54,171.453436
ChillBearClubGenesis,chillbearclub-genesis,0.164,2,6.0,3950.54,323.94428000000005
ChillRX,chillrx,0.225,2,3.0,3950.54,444.43575
Chimera,chimera-by-mpkoz,5.84,2,4.0,3950.54,11535.576799999999
